Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","5992","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","461","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","524","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","313","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","3316","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","920","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","509","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","10480","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","49","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","192","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","650","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","25","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","420","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","28","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","9461","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","118","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","2052","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","3252","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","122","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","16491","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","290","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","8901","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","7961","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","4872","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","818","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","34","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","2778","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","898","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","337","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","99","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","1531","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","39","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","46","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","2789","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","1056","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","10317","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","2201","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","15","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","111","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","88","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","5251","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","452","S","Données standardisées"
